,productId,categories,brand,description,size,price.regular,price.promo,Date,Store_Id,image
908,0004000048908,['Candy'],Dove Chocolate,DOVE Valentines Day Milk Chocolate Truffles Heart Gift Box Valentine Candy Tin,3.04 oz,5.49,4.49,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004000048908
909,0004126038120,['Baby'],Comforts,Comforts™ Gentle Milk-Based Infant Formula Powder With Iron,21.5 oz,14.49,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004126038120
910,0004000054326,['Candy'],Dove Chocolate,Dove Chocolate Almond Brittle Milk Chocolate Bar,3.3 oz,1.89,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0004000054326
911,0001111084159,['Snacks'],Kroger,Kroger® Mini Oatmeal Cookies with Real Milk Chocolate,6 ct / 0.92 oz,2.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111084159
912,0005833602220,['Baking Goods'],Dr. Oetker,Dr. Oetker Milk Chocolate Mousse Mix,3.1 oz,2.19,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0005833602220
913,0001111073859,['Beverages'],Kroger,Kroger® Milk Chocolate Dutch Hot Cocoa Mix,28.8 oz,6.19,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111073859
914,0007248899909,['Natural & Organic'],Torn & Glasser,Torn & Glasser Milk Chocolate Honeycomb,9 oz,5.99,4.99,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007248899909
915,0001111003822,"['Natural & Organic', 'Dairy']",Simple Truth,Simple Truth™ Cultured Lowfat Plain Milk Kefir Bottle,32 fl oz,3.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111003822
916,0007092005012,['Beverages'],Swiss Miss,Swiss Miss Milk Chocolate Hot Cocoa Mix with Lucky Charms Marshmallows,6 ct / 1.38 oz,2.0,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0007092005012
917,0085518600625,['Beverages'],Stumptown Coffee,Stumptown Coffee Roasters Homestead Blend Candied & Milk Chocolate Whole Bean Coffee,12 oz,14.99,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0085518600625
918,0001111003824,"['Dairy', 'Natural & Organic']",Simple Truth,Simple Truth™ Cultured Lowfat Vanilla Milk Kefir Bottle,32 fl oz,3.29,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0001111003824
919,0858400403000,['Candy'],Sedita,Sedita Mila Crispy Milk Cream Filled Chocolate Coated Wafer,1.76 oz,1.39,0.0,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0858400403000
920,0087449200080,['Candy'],Theo,Theo Organic Milk Chocolate Bar,3 oz,3.49,2.5,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0087449200080
921,0085361000345,['Candy'],Cocomels,Cocomels Sea Salt Coconut Milk Caramels,3.5 oz,4.99,4.69,02/08/2021,03400312,https://www.kroger.com/product/images/xlarge/front/0085361000345
